from_peg,to_peg
0,89
89,1
1,90
90,2
2,91
91,1
1,81
81,2
2,82
82,3
3,91
91,0
0,88
88,179
179,89
89,9
9,88
88,8
8,87
87,179
179,90
90,0
0,92
92,3
3,83
83,4
4,84
84,175
175,85
85,4
4,93
93,3
3,84
84,5
5,85
85,176
176,86
86,177
177,88
88,178
178,87
87,7
7,85
85,6
6,95
95,5
5,94
94,4
4,82
82,5
5,86
86,6
6,87
87,177
177,89
89,1
1,92
92,2
2,93
93,1
1,80
80,0
0,93
93,4
4,92
92,179
179,87
87,9
9,86
86,178
178,89
89,10
10,90
90,178
178,87
87,176
176,88
88,10
10,90
90,177
177,86
86,7
7,84
84,6
6,96
96,5
5,83
83,174
174,85
85,5
5,86
86,8
8,84
84,174
174,86
86,6
6,82
82,2
2,80
80,3
3,91
91,11
11,90
90,1
1,94
94,3
3,81
81,171
171,82
82,172
172,84
84,4
4,95
95,3
3,92
92,178
178,77
77,179
179,79
79,0
0,88
88,179
179,91
91,12
12,92
92,2
2,94
94,0
0,80
80,4
4,85
85,8
8,98
98,7
7,96
96,4
4,81
81,1
1,79
79,2
2,91
91,178
178,86
86,175
175,88
88,7
7,87
87,10
10,86
86,7
7,97
97,6
6,83
83,2
2,90
90,176
176,89
89,11
11,88
88,178
178,89
89,179
179,78
78,178
178,93
93,179
179,90
90,12
12,89
89,175
175,84
84,173
173,83
83,3
3,96
96,7
7,82
82,1
1,95
95,6
6,87
87,175
175,90
90,0
0,89
89,9
9,99
99,8
8,89
89,1
1,92
92,13
13,93
93,5
5,81
81,6
6,98
98,5
5,80
80,1
1,78
78,0
0,95
95,2
2,93
93,14
14,112
112,15
15,94
94,5
5,83
83,7
7,85
85,10
10,100
100,9
9,85
85,176
176,86
86,173
173,85
85,177
177,91
91,11
11,87
87,174
174,88
88,8
8,83
83,4
4,92
92,14
14,91
91,176
176,75
75,158
158,76
76,177
177,89
89,13
13,91
91,1
1,77
77,177
177,92
92,0
0,91
91,3
3,84
84,5
5,97
97,2
2,96
96,0
0,81
81,7
7,88
88,177
177,90
90,9
9,84
84,176
176,92
92,3
3,79
79,179
179,87
87,12
12,88
88,173
173,82
82,170
170,81
81,2
2,78
78,3
3,93
93,0
0,77
77,159
159,77
77,2
2,83
83,9
9,88
88,179
179,94
94,178
178,76
76,179
179,78
78,4
4,98
98,3
3,97
97,4
4,94
94,6
6,93
93,1
1,79
79,4
4,85
85,175
175,74
74,157
157,73
73,157
157,74
74,157
157,72
72,156
156,71
71,156
156,70
70,156
156,71
71,172
172,86
86,12
12,91
91,10
10,88
88,0
0,79
79,5
5,95
95,16
16,113
113,16
16,113
113,17
17,113
113,18
18,114
114,19
19,114
114,18
18,114
114,20
20,114
114,19
19,98
98,2
2,94
94,1
1,96
96,6
6,85
85,172
172,83
83,174
174,90
90,11
11,86
86,179
179,80
80,170
170,83
83,6
6,99
99,7
7,87
87,9
9,82
82,8
8,87
87,177
177,84
84,6
6,82
82,3
3,81
81,171
171,83
83,173
173,87
87,172
172,88
88,13
13,111
111,12
12,92
92,15
15,93
93,177
177,75
75,178
178,90
90,14
14,112
112,15
15,91
91,4
4,92
92,175
175,91
91,9
9,99
99,5
5,78
78,178
178,87
87,13
13,90
90,2
2,91
91,174
174,89
89,176
176,88
88,11
11,85
85,12
12,90
90,176
176,93
93,14
14,94
94,3
3,83
83,175
175,88
88,8
8,97
97,1
1,82
82,2
2,79
79,160
160,78
78,4
4,99
99,3
3,77
77,4
4,81
81,179
179,75
75,158
158,76
76,0
0,97
97,7
7,80
80,6
6,97
97,5
5,92
92,11
11,110
110,11
11,84
84,171
171,85
85,178
178,86
86,5
5,94
94,0
0,80
80,161
161,79
79,6
6,81
81,5
5,82
82,4
4,96
96,5
5,93
93,178
178,95
95,179
179,96
96,3
3,84
84,174
174,85
85,8
8,89
89,10
10,83
83,176
176,87
87,12
12,88
88,14
14,89
89,173
173,90
90,8
8,100
100,7
7,95
95,1
1,76
76,2
2,80
80,169
